learning_rate,beta_1,beta_2,epsilon,accuracy
0.0003,0.52,0.95,7e-07,0.8547008633613586
0.0008,0.72,0.88,2e-07,0.8739316463470459
0.0002,0.58,0.87,4e-07,0.9358974099159241
0.0007,0.61,0.58,4e-07,0.9081196784973145
0.0002,0.62,0.6,9e-07,0.94017094373703
0.0002,0.86,0.95,3e-07,0.9123931527137756
0.0006,0.78,0.81,6e-07,0.9230769276618958
0.0002,0.89,0.52,2e-07,0.46581196784973145
0.0003,0.68,0.9,8e-07,0.9188033938407898
0.0005,0.81,0.52,9e-07,0.6346153616905212
0.0003,0.66,0.6,8e-07,0.9572649598121643
0.0002,0.7,0.99,6e-07,0.9294871687889099
0.0001,0.67,0.9,3e-07,0.9508547186851501
0.0004,0.52,0.67,6e-07,0.9337607026100159
0.0005,0.96,0.81,5e-07,0.6517093777656555
0.0002,0.94,0.96,7e-07,0.94017094373703
0.0003,0.83,0.98,2e-07,0.9358974099159241
0.0005,0.77,0.79,5e-07,0.8995726704597473
0.0004,0.51,0.85,3e-07,0.8653846383094788
0.0008,0.92,0.96,3e-07,0.8760683536529541
0.0004,0.72,0.74,2e-07,0.9273504018783569
0.0005,0.72,0.67,6e-07,0.9252136945724487
0.0002,0.73,0.61,6e-07,0.9358974099159241
0.0004,0.96,0.59,5e-07,0.4594016969203949
0.0004,0.73,0.89,4e-07,0.9294871687889099
0.0005,0.75,0.93,3e-07,0.9316239356994629
0.0004,0.8,0.8,2e-07,0.9337607026100159
0.0003,0.97,0.99,2e-07,0.9188033938407898
0.0009,0.77,0.55,2e-07,0.8760683536529541
0.0006,0.64,0.79,1e-07,0.9273504018783569
0.0008,0.66,0.53,3e-07,0.8760683536529541
0.0002,0.97,0.72,1e-07,0.7286324501037598
0.0002,0.96,0.81,7e-07,0.9188033938407898
0.0002,0.66,0.55,2e-07,0.9273504018783569
0.0004,0.95,0.68,9e-07,0.4594016969203949
0.0004,0.87,0.94,5e-07,0.9017093777656555
0.0003,0.8,0.87,3e-07,0.9230769276618958
0.0008,0.65,0.6,3e-07,0.9252136945724487
0.0004,0.71,0.88,6e-07,0.9358974099159241
0.0004,0.54,0.76,5e-07,0.9188033938407898
0.0005,0.71,0.53,6e-07,0.8952991366386414
0.0002,0.63,0.59,7e-07,0.94017094373703
0.0006,0.7,0.68,6e-07,0.9209401607513428
0.0002,0.75,0.7,5e-07,0.9337607026100159
